Pa10R	1	1	1	1	1	0	0
Pa15L	1	1	1	1	1	0	1
Pa09L	1	1	1	1	1	0	2
Pa06R	1	1	1	1	1	0	3
Pa05R	1	1	1	1	1	0	4
Pa07R	1	1	1	1	1	0	5
Pa02L	1	1	1	1	1	0	6
Pa14R	1	1	1	1	1	0	7
Pa03R	1	1	1	1	1	1	0
Pa13R	2	1	1	1	1	1	1
Pa04L	2	1	1	1	1	1	2
Pa08R	2	1	1	1	1	1	3
Pa12R	3	1	1	1	1	1	4
Pa10L	4	1	1	1	1	1	5
Pa01L	5	1	1	1	1	1	6
Pa09Lp	6	6	1	1	1	1	7
Pa03Rp	6	6	1	1	1	2	0
Pa12Rp	6	6	1	1	1	2	1
Pa14Rp3	6	6	1	1	1	2	2
Pa02Lp2	7	7	1	1	1	2	3
Pa05Rp	8	7	1	1	1	2	4
Pa06Rp	9	9	1	1	1	2	5
Pa10Lp	9	9	1	1	1	2	6
Pa14Rp4	10	10	1	1	1	2	7
Pa14Rp1	11	10	1	1	1	3	0
Pa07L	12	12	1	1	1	3	1
Pa14Rp2	13	12	1	1	1	3	2
Pa02Lp1	14	14	1	1	1	3	3
Pa13Rp	14	14	1	1	1	3	4
Pa16L	15	15	1	1	1	3	5
Pa10Rp	16	16	1	1	1	3	6
Pa15Lp	17	17	1	1	1	3	7
Pa07Rp	18	18	1	1	1	4	0
Ka1R	19	19	19	1	1	4	1
Ka5R	19	19	19	1	1	4	2
Ka3L	19	19	19	1	1	4	3
Pa16R	20	20	20	1	1	4	4
Pa14L	20	20	20	1	1	4	5
Pa03L	20	20	20	1	1	4	6
Pa06L	21	21	21	1	1	4	7
Pa11L	21	21	21	1	1	5	0
An15R	22	22	22	1	1	5	1
Ka1L	23	23	23	23	1	5	2
Ka2R	23	23	23	23	1	5	3
Ka3R	23	23	23	23	1	5	4
Ka1Lp	24	24	23	23	1	5	5
Ka4L	25	24	23	23	1	5	6
Ka2Rp1	26	26	23	23	1	5	7
Ka2Rp2	27	26	23	23	1	6	0
Ka6L	28	28	28	23	1	6	1
Ka6R	28	28	28	23	1	6	2
Ka5L	29	29	29	23	1	6	3
An02R	30	30	30	30	1	6	4
An08R	30	30	30	30	1	6	5
An13R	30	30	30	30	1	6	6
An08Rp	31	30	30	30	1	6	7
An13Rp	32	32	30	30	1	7	0
An05L	33	33	33	30	1	7	1
An06R	34	34	34	30	1	7	2
Pa01R	35	35	35	35	1	7	3
Pa04R	35	35	35	35	1	7	4
Pa12L	36	36	36	35	1	7	5
Pa02R	37	37	36	35	1	7	6
Pa13L	38	38	38	35	1	7	7
Pa15R	39	39	39	35	1	8	0
An18R	40	40	40	40	1	8	1
An04R	40	40	40	40	1	8	2
An18Rp	41	41	40	40	1	8	3
An04Rp	42	42	40	40	1	8	4
An03R	43	43	43	40	1	8	5
Ph2R	44	44	44	44	1	8	6
Ph3L	44	44	44	44	1	8	7
Ph2Rp	45	45	45	44	1	9	0
An13L	46	46	46	46	1	9	1
An11R	47	47	47	46	1	9	2
An09R	48	48	48	48	1	9	3
An17R	49	49	49	48	1	9	4
An20R	50	50	50	50	1	9	5
An20L	50	50	50	50	1	9	6
An10L	51	51	51	51	1	9	7
An16R	52	52	52	51	1	10	0
An08L	53	53	53	53	1	10	1
An12L	54	54	54	53	1	10	2
An19R	55	55	55	55	1	10	3
Ka4R	56	56	56	55	1	10	4
Ka2L	57	57	57	57	1	10	5
Ka2Lp	58	58	57	57	1	10	6
An09L	59	59	59	59	1	10	7
An07R	60	60	60	60	1	11	0
An07L	61	61	61	61	1	11	1
An06L	62	62	62	62	1	11	2
An04L	63	63	63	63	1	11	3
An05R	64	64	64	64	1	11	4
An02L	65	65	65	65	1	11	5
An03L	66	66	66	66	1	11	6
An01R	67	67	67	67	1	11	7
An01L	68	68	68	68	1	12	0
An12R	69	69	69	69	1	12	1
An15L	70	70	70	70	1	12	2
An14R	71	71	71	71	1	12	3
An14L	72	72	72	72	1	12	4
An11L	73	73	73	73	1	12	5
An10R	74	74	74	74	1	12	6
An18L	75	75	75	75	1	12	7
An19L	76	76	76	76	1	13	0
An16L	77	77	77	77	1	13	1
An17L	78	78	78	78	1	13	2
Pa08L	79	79	79	79	1	13	3
An02Rp	80	80	80	80	1	13	4
An10Rp	81	81	81	81	1	13	5
Pa05L	82	82	82	82	1	13	6
Pa04Rp	83	83	83	83	1	13	7
Pa11R	84	84	84	84	1	14	0
Pa09R	85	85	85	85	1	14	1
Ph1L	86	86	86	86	1	14	2
Ph2L	87	87	87	87	1	14	3
Ph1R	88	88	88	88	1	14	4
Ph3Lp	89	89	89	89	1	14	5
Ph3R	90	90	90	90	1	14	6
